OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
CALSPHERE 1,1964-063C,2026-01-02T03:12:01.930752,13.76400337,.0027153,90.2196,67.9317,78.5371,314.7496,0,U,900,999,4858,.1006E-2,.995E-5,0
CALSPHERE 2,1964-063E,2026-01-02T05:07:15.427200,13.52885121,.0018229,90.2342,71.8885,355.2947,65.9886,0,U,902,999,83382,.89172E-4,.68E-6,0
LCS 1,1965-034C,2026-01-01T23:05:34.689984,9.89310009,.0013574,32.1357,211.7066,253.6836,106.2168,0,U,1361,999,19342,.2922E-2,.31E-6,0
TEMPSAT 1,1965-065E,2026-01-02T02:38:02.709312,13.33584353,.0069537,89.9865,212.6474,356.5483,126.5023,0,U,1512,999,93791,.13556E-3,.76E-6,0
CALSPHERE 4A,1965-065H,2026-01-02T03:41:22.582176,13.36244947,.0069351,89.9110,124.0639,210.9578,267.9921,0,U,1520,999,94053,.28684E-3,.158E-5,0
OPS 5712 (P/L 160),1967-053A,2026-01-02T04:38:04.958880,14.74721353,.0006574,69.9189,84.2951,282.2074,77.8336,0,U,2826,999,4173,.25553E-2,.17076E-3,0
LES-5,1967-066E,2026-01-02T02:12:44.001216,1.09425775,.0056763,2.2412,101.7580,202.2810,122.6466,0,U,2866,999,12921,0,-.86E-6,0
SURCAL 159,1967-053F,2026-01-02T03:16:53.793408,13.99550889,.0008767,69.9750,358.3787,312.6683,47.3685,0,U,2872,999,98697,.18458E-3,.216E-5,0
OPS 5712 (P/L 153),1967-053H,2026-01-01T16:50:33.386784,13.96796912,.00052729,69.9744,112.1485,31.5670,328.5751,0,U,2874,999,98353,.12608515E-3,.122E-5,0
OPS 3811 (DSP 2),1971-039A,2026-01-02T01:56:00.601728,0.98159137,.0025059,0.2808,324.1613,322.7677,77.4469,0,U,5204,999,20460,0,-.4E-7,0
RIGIDSPHERE 2 (LCS 4),1971-067E,2026-01-02T03:10:36.321312,14.37597668,.006221,87.6197,24.8851,64.8329,295.9304,0,U,5398,999,85002,.42314E-3,.1316E-4,0
OSCAR 7 (AO-7),1974-089B,2026-01-02T00:04:14.153376,12.53694779,.0012397,101.9964,13.4832,88.5650,328.7752,0,U,7530,999,33969,.16261E-3,-.2E-6,0
STARLETTE,1975-010A,2026-01-02T04:17:48.471936,13.82347839,.0205627,49.8258,39.8574,234.6193,123.5335,0,U,7646,999,57157,.1288E-4,-.124E-5,0
LAGEOS 1,1976-039A,2026-01-01T15:13:41.909376,6.38664890,.0044659,109.8323,122.3106,337.9286,59.3146,0,U,8820,999,90250,0,-.11E-6,0
OPS 8701 (DSP 10),1982-019A,2026-01-02T04:24:42.825600,0.98189383,.0006633,9.6272,310.3951,310.9954,101.5127,0,U,13086,999,2403,0,-.117E-5,0
PHASE 3B (AO-10),1983-058B,2025-12-29T21:11:50.367840,2.05869912,.60633554,26.0210,248.2434,68.4336,343.7584,0,U,14129,999,29200,0,.239E-5,0
UOSAT 2 (UO-11),1984-021B,2026-01-02T03:20:13.656480,14.90227516,.0008279,97.7834,329.8543,24.4637,335.6972,0,U,14781,999,23239,.30304E-3,.2885E-4,0
AJISAI (EGS),1986-061A,2026-01-02T03:44:20.488416,12.44514565,.001132,50.0106,297.9402,117.1232,18.4116,0,U,16908,999,45971,.1313E-3,-.79E-6,0
TDRS 3,1988-091B,2026-01-02T04:48:24.446880,1.00264336,.0043635,12.7281,342.0983,344.9056,157.8937,0,U,19548,999,12372,0,-.296E-5,0
COSMOS 1989 (ETALON 1),1989-001C,2026-01-01T01:09:43.423200,2.13155898,.00234212,64.8460,77.9154,217.2949,12.2225,0,U,19751,999,28780,0,-.29E-6,0
COSMOS 2024 (ETALON 2),1989-039C,2026-01-02T01:52:19.617312,2.13204361,.0020461,65.0378,316.2579,213.9667,214.4556,0,U,20026,999,28496,0,-.64E-6,0
FLTSATCOM 8 (USA 46),1989-077A,2026-01-01T20:17:00.192768,1.00279050,.0008454,12.4671,352.1618,301.9432,237.2856,0,U,20253,999,25889,0,-.364E-5,0
LUSAT (LO-19),1990-005G,2026-01-01T23:44:57.751584,14.34054985,.0011143,98.8953,19.1279,338.4922,21.5792,0,U,20442,999,87857,.13661E-3,.335E-5,0
HST,1990-037B,2026-01-01T17:02:52.342656,15.28338358,.0002604,28.4657,136.5263,92.0873,268.0020,0,U,20580,999,76305,.40138616E-3,.11638E-3,0
SKYNET 4C,1990-079A,2026-01-02T02:41:26.251296,1.00267919,.0003707,13.3938,350.9457,283.1352,261.4296,0,U,20776,999,12922,0,.128E-5,0
USA 65 (DSP 15),1990-095A,2026-01-01T17:54:36.330912,0.98398492,.00015022,14.1069,345.1976,63.2120,308.8838,0,U,20929,999,2383,0,-.213E-5,0
